Nav State,Tensão Nominal (V),Capacidade (Ah),Energia das Baterias,Potência Flutuante (kW),Motores Ativos,Potência Total,Autonomia Barco
1,71.79,207.48,14.8949892,1.5124240080842877,2,3.0248480161685753,4.92
2,71.29,199.26,14.205245399999999,9.802076484553664,0,0.1,142.05
3,74.35,200.7,14.922044999999999,12.397744786375075,0,0.1,149.22
4,75.51,214.02,16.160650200000003,2.1408491017648164,0,0.1,161.61
5,70.44,212.84,14.9924496,7.078197924887423,1,7.078197924887423,2.12
6,71.2,202.21,14.397352000000001,9.455134848115446,1,9.455134848115446,1.52
7,69.5,213.23,14.819484999999998,7.017675726512507,2,14.035351453025013,1.06
8,72.78,208.53,15.1768134,2.2412013537761855,2,4.482402707552371,3.39
9,70.37,199.08,14.009259600000002,5.120384838163053,1,5.120384838163053,2.74
10,75.73,202.92,15.3671316,12.911395215711629,1,12.911395215711629,1.19
11,75.22,211.5,15.909030000000001,1.8783820191752088,2,3.7567640383504175,4.23
12,76.31,198.23,15.1269313,0.3678550906632966,2,0.7357101813265932,20.56
13,70.04,214.52,15.024980800000002,11.573622273312646,0,0.1,150.25
14,69.32,204.06,14.145439199999998,9.969066212936685,2,19.93813242587337,0.71
15,71.33,210.49,15.0142517,11.999331227494835,1,11.999331227494835,1.25
16,70.53,202.42,14.276682600000001,5.652814106164807,0,0.1,142.77
17,71.18,210.46,14.980542800000002,7.541341434476531,0,0.1,149.81
18,71.6,198.97,14.246251999999998,0.47704240666694864,2,0.9540848133338973,14.93
19,75.89,203.88,15.4724532,4.623250450659937,2,9.246500901319873,1.67
20,73.23,206.87,15.1490901,5.975168196148933,2,11.950336392297865,1.27
21,74.93,214.72,16.088969600000002,4.558816945267227,2,9.117633890534455,1.76
22,71.25,209.46,14.924025000000002,8.831734356582649,0,0.1,149.24
23,69.87,212.97,14.880213900000001,9.235264607284835,1,9.235264607284835,1.61
24,69.32,211.14,14.636224799999997,7.552814605406644,0,0.1,146.36
25,74.28,195.58,14.527682400000002,6.92576884128079,1,6.92576884128079,2.1
26,75.87,196.39,14.9001093,5.36296495832324,0,0.1,149.0
27,70.19,213.44,14.981353599999998,8.185194675650875,1,8.185194675650875,1.83
28,71.76,199.12,14.288851200000002,11.140752132681952,0,0.1,142.89
29,70.46,208.36,14.6810456,3.27504232706824,1,3.27504232706824,4.48
30,69.17,207.07,14.3230319,7.482875339515223,0,0.1,143.23
31,72.17,197.41,14.2470797,1.9340674008690577,2,3.8681348017381154,3.68
32,70.97,207.95,14.7582115,8.35170106464128,2,16.70340212928256,0.88
33,70.98,211.48,15.010850399999999,2.8039423246709454,1,2.8039423246709454,5.35
34,70.74,204.99,14.5009926,6.05948886988372,0,0.1,145.01
35,70.66,210.94,14.9050204,9.967660603813332,0,0.1,149.05
36,75.29,210.27,15.831228300000003,1.1812361972231864,0,0.1,158.31
37,72.0,209.15,15.058800000000002,6.763977823485192,2,13.527955646970383,1.11
38,70.76,204.39,14.4626364,3.3910758378279824,2,6.782151675655965,2.13
39,72.01,206.26,14.852782600000001,0.11261527413635553,2,0.22523054827271105,65.94
40,72.04,208.91,15.0498764,10.30040293674407,0,0.1,150.5
41,69.94,195.71,13.6879574,12.269288708494413,1,12.269288708494413,1.12
42,74.4,213.84,15.909696000000002,12.645195092865519,2,25.290390185731038,0.63
43,76.13,211.68,16.1151984,2.6523216311195794,2,5.304643262239159,3.04
44,74.09,205.16,15.2003044,0.4859245540055326,0,0.1,152.0
45,70.94,214.56,15.2208864,4.2993844401907255,2,8.598768880381451,1.77
46,70.68,211.4,14.941752000000003,5.069435812657586,1,5.069435812657586,2.95
47,73.65,195.06,14.366169000000001,0.5980944809389551,2,1.1961889618779102,12.01
48,70.15,196.03,13.751504500000001,3.4821475500940835,2,6.964295100188167,1.97
49,74.76,209.31,15.6480156,4.448374043565389,1,4.448374043565389,3.52
50,74.38,212.33,15.7931054,4.303519200443017,1,4.303519200443017,3.67
51,71.52,207.27,14.8239504,6.2079283114184,1,6.2079283114184,2.39
52,75.16,207.14,15.568642399999998,1.142766949720387,2,2.285533899440774,6.81
53,76.17,195.0,14.85315,10.964365698228498,0,0.1,148.53
54,75.41,202.37,15.2607217,5.7070564347837704,2,11.414112869567541,1.34
55,73.58,211.16,15.5371528,1.287081147224133,0,0.1,155.37
56,73.33,210.7,15.450631,9.69989475319842,0,0.1,154.51
57,75.97,202.51,15.3846847,3.5171227052907725,2,7.034245410581545,2.19
58,69.24,211.64,14.653953599999998,0.9015882437404888,0,0.1,146.54
59,71.18,198.47,14.127094600000003,9.124235484840462,2,18.248470969680923,0.77
60,71.13,210.5,14.972865,0.9565050537722698,0,0.1,149.73
61,71.3,203.14,14.483881999999998,9.126492623962548,1,9.126492623962548,1.59
62,72.66,213.13,15.4860258,0.6049357973247852,0,0.1,154.86
63,74.95,195.23,14.6324885,11.19372602750137,2,22.38745205500274,0.65
64,73.9,195.54,14.450406000000001,12.157849513955576,2,24.31569902791115,0.59
65,71.17,196.78,14.0048326,2.32826751559438,0,0.1,140.05
66,73.02,210.59,15.377281799999999,1.3170731923031933,1,1.3170731923031933,11.68
67,69.5,206.05,14.320475,3.000878176381589,1,3.000878176381589,4.77
68,76.42,197.92,15.125046399999999,9.574051674577207,2,19.148103349154415,0.79
69,71.43,200.82,14.344572600000001,2.5368490106042927,2,5.073698021208585,2.83
70,72.43,207.14,15.0031502,5.034723331874433,1,5.034723331874433,2.98
71,73.66,198.65,14.632558999999999,7.430593009855658,1,7.430593009855658,1.97
72,75.37,200.59,15.1184683,0.165948729992363,1,0.165948729992363,91.1
73,71.31,213.67,15.2368077,9.577801700002185,0,0.1,152.37
74,73.27,196.51,14.3982877,10.312282693412726,0,0.1,143.98
75,75.12,197.99,14.873008800000001,1.4087173868526934,2,2.817434773705387,5.28
76,76.13,199.11,15.1582443,7.0713933209176085,2,14.142786641835217,1.07
77,71.56,205.24,14.6869744,5.9114925059696315,0,0.1,146.87
78,71.75,209.32,15.018709999999999,5.507113802427107,2,11.014227604854215,1.36
79,71.18,207.75,14.787645000000003,7.723871400263705,2,15.44774280052741,0.96
80,74.16,201.0,14.90616,8.518041658226917,0,0.1,149.06
81,73.12,211.18,15.441481600000001,6.181605255157544,0,0.1,154.41
82,75.74,195.23,14.786720199999998,4.367333102128711,0,0.1,147.87
83,69.84,201.54,14.0755536,9.748759331946445,2,19.49751866389289,0.72
84,73.32,199.71,14.6427372,0.24943655720825075,0,0.1,146.43
85,72.33,206.87,14.9629071,2.2653474339368467,0,0.1,149.63
86,69.28,215.15,14.905592,0.6747134971445305,2,1.349426994289061,11.05
87,76.29,202.86,15.476189400000003,2.404812165642602,1,2.404812165642602,6.44
88,75.34,211.77,15.954751800000002,12.260913718852409,0,0.1,159.55
89,71.61,209.91,15.0316551,6.0406474583573955,0,0.1,150.32
90,73.74,209.97,15.4831878,8.64532904451862,2,17.29065808903724,0.9
91,73.02,203.34,14.8478868,7.623782940651196,2,15.247565881302393,0.97
92,75.4,208.18,15.696772000000001,3.6067600141119733,1,3.6067600141119733,4.35
93,70.4,198.91,14.003264000000001,1.4773584564531816,2,2.9547169129063633,4.74
94,71.42,202.87,14.488975400000001,2.0912446942950424,1,2.0912446942950424,6.93
95,75.11,195.9,14.714049000000001,8.050385454837686,1,8.050385454837686,1.83
96,76.1,198.41,15.099000999999998,4.119111229522474,2,8.238222459044948,1.83
97,72.46,195.45,14.162306999999997,6.568905284338393,0,0.1,141.62
98,70.88,209.89,14.877003199999997,5.736707269124926,1,5.736707269124926,2.59
99,76.39,206.22,15.7531458,9.224170305328505,2,18.44834061065701,0.85
100,74.03,202.3,14.976269,1.027470308859682,1,1.027470308859682,14.58
101,72.57,201.53,14.625032099999999,12.486878974585409,2,24.973757949170817,0.59
102,69.86,196.12,13.7009432,5.9669387642381535,2,11.933877528476307,1.15
103,72.86,200.59,14.6149874,3.1277736667877614,2,6.255547333575523,2.34
104,72.42,200.32,14.5071744,5.780528301465795,0,0.1,145.07
105,73.69,205.42,15.137399799999999,4.5838004631235805,0,0.1,151.37
106,72.13,212.28,15.311756399999998,5.311812909659059,2,10.623625819318118,1.44
107,70.07,198.23,13.889976099999998,8.680211250581863,0,0.1,138.9
108,71.64,196.9,14.105916,4.431628019766588,0,0.1,141.06
109,73.36,202.34,14.8436624,12.70539009566842,2,25.41078019133684,0.58
110,75.5,204.52,15.44126,12.811752856560146,0,0.1,154.41
111,69.92,208.51,14.5790192,10.012710456781837,0,0.1,145.79
112,75.24,209.46,15.759770399999999,4.534188948874736,2,9.068377897749471,1.74
113,70.62,203.03,14.3379786,10.0185685201603,2,20.0371370403206,0.72
114,75.3,195.79,14.742987,4.167167064357699,0,0.1,147.43
115,70.18,196.64,13.800195200000001,8.449080160783467,2,16.898160321566934,0.82
116,74.53,199.5,14.868735000000001,2.8569942385804605,2,5.713988477160921,2.6
117,69.67,213.55,14.878028500000001,7.549288782428944,1,7.549288782428944,1.97
118,75.77,214.57,16.257968899999998,5.03938173238082,1,5.03938173238082,3.23
119,73.62,211.2,15.548544,6.094432724599204,2,12.188865449198408,1.28
120,72.8,213.31,15.528967999999999,0.102499687826482,2,0.204999375652964,75.75
121,69.98,214.88,15.0373024,5.29908292381249,2,10.59816584762498,1.42
122,72.0,197.56,14.22432,0.22477598108165497,0,0.1,142.24
123,75.86,211.98,16.0808028,4.307357502710756,2,8.614715005421512,1.87
124,72.45,201.63,14.6080935,6.004077628475406,2,12.008155256950811,1.22
